epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6322.16,0.4431,0.46021,1.07376,0.84709,0.62379,0.67992,0.56065,0.60675,0.65549,1.09134,0.00013625,0.00013625,0.00013625
92,6390.51,0.43374,0.4253,1.05781,0.84648,0.63345,0.66673,0.55392,0.60601,0.63731,1.09886,0.000123875,0.000123875,0.000123875
93,6458.79,0.42722,0.40623,1.05226,0.85073,0.62985,0.68309,0.56672,0.60083,0.64155,1.07507,0.0001115,0.0001115,0.0001115
94,6526.89,0.41378,0.39313,1.04297,0.8629,0.6137,0.68446,0.56361,0.59497,0.63912,1.07635,9.9125e-05,9.9125e-05,9.9125e-05
95,6594.41,0.41528,0.39864,1.04214,0.85157,0.63232,0.6689,0.55802,0.59826,0.62444,1.0769,8.675e-05,8.675e-05,8.675e-05
96,6662.29,0.40769,0.37707,1.04006,0.8631,0.6137,0.68629,0.5707,0.59415,0.64172,1.07508,7.4375e-05,7.4375e-05,7.4375e-05
97,6730.59,0.40735,0.38395,1.03275,0.84679,0.63273,0.6846,0.575,0.59329,0.64145,1.07089,6.2e-05,6.2e-05,6.2e-05
98,6798.49,0.40286,0.3817,1.03196,0.85612,0.62542,0.66609,0.55774,0.59346,0.634,1.07462,4.9625e-05,4.9625e-05,4.9625e-05
99,6865.99,0.39838,0.37057,1.03389,0.8534,0.61387,0.68676,0.56981,0.59665,0.63731,1.07702,3.725e-05,3.725e-05,3.725e-05
100,6933.61,0.3938,0.36108,1.02155,0.86362,0.61396,0.68694,0.57315,0.59184,0.62931,1.07422,2.4875e-05,2.4875e-05,2.4875e-05
